eval,target,case,rows,ref_mean_ps,pred_mean_ps,mean_error_ps,mae_ps,mse_ps2,rmse_ps,mse_ns2,rmse_ns,p95_abs_error_ps,p99_abs_error_ps,max_abs_error_ps,wmape_pct,smape_pct,mape_pct_ref_gt_1fs,r2,pearson_r,within_5ps_pct,within_10ps_pct,within_20ps_pct,within_50ps_pct
detail_postroute_si,arrival,iwls2005__vga_lcd,2100,408.756667,400.276378,-8.48028908,26.4457036,1119.30766,33.4560557,0.00111930766,0.0334560557,63.223647,65.2881282,78.314778,6.46979138,10.9160095,13.2346462,0.968698535,0.987082702,9.85714286,23.8571429,55.4285714,78.3333333
detail_postroute_si,arrival,iwls2005__wb_conmax,1287,200.573427,167.675405,-32.8980213,32.8980213,1272.58847,35.6733579,0.00127258847,0.0356733579,53.926792,53.926792,74.703082,16.401984,19.9441018,17.9797524,0.840664175,0.993411655,0,0,23.3100233,76.5345765
detail_postroute_si,arrival,iwls2005__wb_dma,1100,138.298182,143.807247,5.50906476,5.98639002,57.0237143,7.55140479,5.70237143e-05,0.00755140479,14.2655052,16.0708815,17.190287,4.32861079,4.88969342,5.09471674,0.984121901,0.996477933,46.5454545,78.1818182,100,100
detail_postroute_si,arrival,openroad__dynamic_node,1495,232.857525,229.336428,-3.5210974,5.79926405,45.8790569,6.77340807,4.58790569e-05,0.00677340807,13.5023035,15.152571,16.418381,2.49047741,3.72036362,3.61598383,0.996379619,0.998811306,43.4782609,84.2809365,100,100
detail_postroute_si,arrival,openroad__ethmac,1500,254.352667,262.968456,8.61578936,9.52735855,172.903364,13.1492724,0.000172903364,0.0131492724,26.4691421,31.109025,36.732981,3.7457278,3.70459369,3.7741905,0.988257825,0.997711113,52.8,62.0666667,79.6666667,100
detail_postroute_si,arrival,openroad__fifo,1300,150.954615,153.069705,2.11508964,4.06004209,32.6552413,5.71447647,3.26552413e-05,0.00571447647,12.5704805,18.146249,20.872002,2.68957798,2.89288626,2.93342092,0.994506693,0.997995657,72.6153846,90.1538462,99.5384615,100
detail_postroute_si,arrival,openroad__gcd,291,77.0171821,77.2987479,0.281565801,2.15765855,8.42412592,2.90243448,8.42412592e-06,0.00290243448,7.701668,8.8449291,8.848137,2.80152881,3.00096257,2.97880245,0.993483885,0.997582881,91.7525773,100,100,100
detail_postroute_si,arrival,openroad__jpeg,1235,222.259919,243.120731,20.8608122,20.8608122,478.370207,21.8716759,0.000478370207,0.0218716759,31.6018347,36.072974,40.994885,9.38577331,9.6623914,10.1776324,0.941806058,0.999193633,0,8.09716599,44.8582996,100
detail_postroute_si,arrival,openroad__spi,166,71.186747,73.2221861,2.03543911,2.4563154,11.9892701,3.46255254,1.19892701e-05,0.00346255254,6.431686,7.0570813,7.06323,3.45052345,2.96592944,3.02372793,0.987228696,0.997614665,74.6987952,100,100,100
detail_postroute_si,arrival,openroad__uart,707,93.5940594,95.1293375,1.53527808,3.254834,19.8135814,4.45124493,1.98135814e-05,0.00445124493,9.3379122,12.9407572,13.962282,3.47760747,3.63638633,3.64997474,0.990102229,0.997194862,77.6520509,95.4738331,100,100
postcts_global_no_si,row_delay,iwls2005__ac97_ctrl,1235,42.6672065,44.3006748,1.63346831,2.40113017,9.31529526,3.05209686,9.31529526e-06,0.00305209686,6.5326,6.5326,6.5326,5.62757765,21.0045156,5.37466586,0.95905419,0.990504752,84.1295547,100,100,100
postcts_global_no_si,row_delay,iwls2005__des,817,41.753978,42.408888,0.654910018,1.26646693,2.84735327,1.68741023,2.84735327e-06,0.00168741023,3.28832,4.204724,4.8844,3.03316473,27.1846487,3.12838163,0.991451669,0.996582213,100,100,100,100
postcts_global_no_si,row_delay,iwls2005__mem_ctrl,1300,40.8684615,39.9234641,-0.94499741,1.75926782,5.52900883,2.35138445,5.52900883e-06,0.00235138445,5.2196,5.2196,5.2196,4.30470772,19.5361078,4.39056703,0.972332237,0.98851023,92.3076923,100,100,100
postcts_global_no_si,row_delay,iwls2005__pci,1054,53.3548387,53.9146444,0.559805685,1.20280322,2.44372429,1.5632416,2.44372429e-06,0.0015632416,3.429,4.241527,7.8033,2.25434702,4.88614401,2.48797167,0.984459228,0.99323237,99.6204934,100,100,100
postcts_global_no_si,row_delay,iwls2005__sasc,851,33.132785,34.1372464,1.00446143,1.28623182,2.63790153,1.62416179,2.63790153e-06,0.00162416179,2.9506,4.1329,4.6672,3.88205162,26.9070788,3.95849519,0.982715403,0.995097697,100,100,100,100
postcts_global_no_si,row_delay,iwls2005__simple_spi,900,33.1777778,34.0049386,0.827160773,1.24706388,2.83318931,1.68320804,2.83318931e-06,0.00168320804,3.4807,4.216767,5.4807,3.7587324,25.48665,3.76412729,0.980602205,0.993302717,99,100,100,100
postcts_global_no_si,row_delay,iwls2005__spi,1100,38.7045455,38.6352161,-0.0693293845,1.29461334,3.6019769,1.89788748,3.6019769e-06,0.00189788748,3.6182,4.0524,5.3203,3.34486125,21.2470048,3.38899499,0.979443222,0.989727323,99.0909091,100,100,100
postcts_global_no_si,row_delay,iwls2005__ss_pcm,779,32.4159178,32.4128049,-0.00311293838,1.5756637,4.02758352,2.00688403,4.02758352e-06,0.00200688403,3.4888,3.905682,4.6323,4.86077151,26.9859132,5.18074319,0.972913288,0.987778304,100,100,100,100
postcts_global_no_si,row_delay,iwls2005__systemcaes,1100,47.2081818,44.9032404,-2.30494143,2.7827833,15.1090613,3.8870376,1.51090613e-05,0.0038870376,7.3431,7.3431,7.3431,5.89470552,23.1838837,5.29208037,0.953087956,0.989116591,68.7272727,100,100,100
postcts_global_no_si,row_delay,iwls2005__systemcdes,900,39.2233333,38.7993227,-0.424010671,1.31531422,2.76576292,1.6630583,2.76576292e-06,0.0016630583,3.3535,3.5297,3.5909,3.35339734,25.2297007,3.36638352,0.986764018,0.993951745,100,100,100,100
postcts_global_no_si,row_delay,iwls2005__tv80,1079,41.3836886,39.7974241,-1.58626446,2.40938263,9.39092875,3.06446223,9.39092875e-06,0.00306446223,6.7936,6.7936,6.7936,5.82205866,23.7579693,5.63401301,0.959489356,0.987349118,90.7321594,100,100,100
postcts_global_no_si,row_delay,iwls2005__usb_funct,640,50.9140625,49.9167464,-0.99731612,2.48214955,9.80684324,3.13158797,9.80684324e-06,0.00313158797,5.7253,9.4449,10.5695,4.87517481,34.9427428,5.63842832,0.982766586,0.992770944,93.59375,99.375,100,100
postcts_global_no_si,row_delay,iwls2005__usb_phy,870,31.5931034,32.4192507,0.826147226,1.84695136,5.03940325,2.24486152,5.03940325e-06,0.00224486152,3.6742,4.5455,4.5455,5.84605867,27.7087258,5.91806673,0.964808625,0.988109138,100,100,100,100
postcts_global_no_si,row_delay,iwls2005__vga_lcd,2100,63.48,59.28178,-4.19821999,6.39720106,74.6279169,8.6387451,7.46279169e-05,0.0086387451,18.806,18.806,18.806,10.0775064,18.7090873,9.34740709,0.909766716,0.974910094,51.9047619,78,100,100
postcts_global_no_si,row_delay,iwls2005__wb_conmax,1296,49.6520062,41.360929,-8.29107717,8.30219206,93.949234,9.69274131,9.3949234e-05,0.00969274131,15.2087,16.442,26.0619,16.7207585,31.5974467,15.9543984,0.698098232,0.976009687,38.1944444,53.0092593,99.9228395,100
postcts_global_no_si,row_delay,iwls2005__wb_dma,1100,41.8363636,39.9019313,-1.93443231,2.34388714,8.59323696,2.93142234,8.59323696e-06,0.00293142234,5.4822,5.4822,5.4822,5.60251164,23.2069246,5.3552043,0.961771159,0.991414127,90.9090909,100,100,100
postcts_global_no_si,row_delay,openroad__dynamic_node,1495,51.1698997,49.5991526,-1.57074702,2.28771399,10.2622657,3.20347712,1.02622657e-05,0.00320347712,7.6554,7.6554,7.6554,4.47081976,17.2685313,4.67062569,0.967887382,0.987903676,86.5551839,100,100,100
postcts_global_no_si,row_delay,openroad__ethmac,1500,58.4753333,55.1032547,-3.37207861,4.46339966,46.5597569,6.82347103,4.65597569e-05,0.00682347103,19.9393,19.9393,19.9393,7.63296146,20.1791031,6.99083343,0.930826374,0.977577181,75.2666667,88.8,100,100
postcts_global_no_si,row_delay,openroad__fifo,1300,38.1984615,39.0354967,0.837035142,1.9940113,6.73745236,2.59566029,6.73745236e-06,0.00259566029,4.7321,6.7321,6.7321,5.22013509,20.2005913,5.29185271,0.96178196,0.985304166,95.2307692,100,100,100
postcts_global_no_si,row_delay,openroad__gcd,291,27.8865979,28.093447,0.206849072,1.20511711,2.30917926,1.51959839,2.30917926e-06,0.00151959839,2.7806,4.0689,4.0689,4.32149205,27.1782219,4.32178435,0.979241734,0.990887053,100,100,100,100
postcts_global_no_si,row_delay,openroad__jpeg,1241,61.5439162,59.7574139,-1.78650226,2.68676865,10.9518198,3.30935338,1.09518198e-05,0.00330935338,8.8918,8.8918,8.8918,4.3656121,4.51921862,4.43795509,0.967733695,0.990563226,93.5535858,100,100,100
postcts_global_no_si,row_delay,openroad__spi,166,28.8072289,30.0021062,1.19487727,1.99692666,5.93783729,2.4367678,5.93783729e-06,0.0024367678,4.13,4.13,4.13,6.93203317,35.7723648,6.84425206,0.962495727,0.98978738,100,100,100,100
postcts_global_no_si,row_delay,openroad__uart,707,32.5388967,33.207906,0.669009223,1.8217484,4.79495098,2.18973765,4.79495098e-06,0.00218973765,3.6716,4.574106,5.0157,5.59867907,27.464514,5.79870443,0.969410044,0.989321795,99.4342291,100,100,100
postcts_global_no_si,arrival,iwls2005__ac97_ctrl,1235,179.901215,189.560682,9.65946699,9.68220227,121.293024,11.0133112,0.000121293024,0.0110133112,18.3402444,21.981369,25.113296,5.38195492,6.00936852,6.24115745,0.978784306,0.997947265,19.5951417,55.708502,97.8137652,100
postcts_global_no_si,arrival,iwls2005__des,817,212.238678,214.690242,2.45156397,3.3753698,17.6132394,4.196813,1.76132394e-05,0.004196813,8.2862486,11.2303881,12.966133,1.59036507,1.656208,1.66359943,0.998368807,0.999582771,78.0905753,97.6744186,100,100
postcts_global_no_si,arrival,iwls2005__mem_ctrl,1300,165.746923,159.475604,-6.27131954,6.46308519,54.5483543,7.38568577,5.45483543e-05,0.00738568577,10.946419,10.946419,10.946419,3.89936963,5.45519301,5.24960696,0.991568416,0.99882795,40.5384615,73.5384615,100,100
postcts_global_no_si,arrival,iwls2005__pci,1054,183.402277,185.024954,1.62267719,2.61969442,14.9769687,3.87000888,1.49769687e-05,0.00387000888,9.4881642,11.9449377,15.650108,1.42838708,1.28837477,1.2997197,0.997477229,0.999089079,86.1480076,96.1100569,100,100
