case,trace_path,timing_path,trace_row_count,timing_clock_row_count,matched_count,unmatched_count,mean_abs_arrival_delta_ns,max_abs_arrival_delta_ns,mean_abs_combined_delay_delta_ns,max_abs_combined_delay_delta_ns,classification
iwls2005__usb_funct,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__usb_funct/cts_baseline/cts/ecc-tools/usbf_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__usb_funct/eval/ecc-tools/iwls2005__usb_funct/timing_paths.rpt,376,640,640,0,0.0127759,0.0427084,0.00366026,0.0145695,l3_aligned_under_50ps
iwls2005__usb_phy,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__usb_phy/cts_baseline/cts/ecc-tools/usb_phy/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__usb_phy/eval/ecc-tools/iwls2005__usb_phy/timing_paths.rpt,170,870,870,0,0.00390294,0.0140347,0.00185603,0.0053331,l3_aligned_under_50ps
iwls2005__vga_lcd,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__vga_lcd/cts_baseline/cts/ecc-tools/vga_enh_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__vga_lcd/eval/ecc-tools/iwls2005__vga_lcd/timing_paths.rpt,28971,2100,2100,0,0.0264457,0.0783148,0.00459459,0.0237523,cumulative_arrival_gap
iwls2005__wb_conmax,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__wb_conmax/cts_baseline/cts/ecc-tools/wb_conmax_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__wb_conmax/eval/ecc-tools/iwls2005__wb_conmax/timing_paths.rpt,1352,1287,1287,0,0.032898,0.0747031,0.0069403,0.0300619,cumulative_arrival_gap
iwls2005__wb_dma,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__wb_dma/cts_baseline/cts/ecc-tools/wb_dma_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__wb_dma/eval/ecc-tools/iwls2005__wb_dma/timing_paths.rpt,897,1100,1100,0,0.00598639,0.0171903,0.00180188,0.0065178,l3_aligned_under_50ps
openroad__dynamic_node,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__dynamic_node/cts_baseline/cts/ecc-tools/dynamic_node_top/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__dynamic_node/eval/ecc-tools/openroad__dynamic_node/timing_paths.rpt,3932,1500,1495,5,0.00579926,0.0164184,0.00199348,0.0059704,l3_aligned_under_50ps
openroad__ethmac,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__ethmac/cts_baseline/cts/ecc-tools/ethmac/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__ethmac/eval/ecc-tools/openroad__ethmac/timing_paths.rpt,17287,1500,1500,0,0.00952736,0.036733,0.00329443,0.0175887,l3_aligned_under_50ps
openroad__fifo,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__fifo/cts_baseline/cts/ecc-tools/fifo/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__fifo/eval/ecc-tools/openroad__fifo/timing_paths.rpt,1796,1300,1300,0,0.00406004,0.020872,0.00146584,0.0061574,l3_aligned_under_50ps
openroad__gcd,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__gcd/cts_baseline/cts/ecc-tools/gcd/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__gcd/eval/ecc-tools/openroad__gcd/timing_paths.rpt,62,291,291,0,0.00215766,0.00884814,0.00112611,0.0041447,l3_aligned_under_50ps
openroad__jpeg,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__jpeg/cts_baseline/cts/ecc-tools/jpeg_encoder/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__jpeg/eval/ecc-tools/openroad__jpeg/timing_paths.rpt,7684,1335,1235,100,0.0208608,0.0409949,0.00463917,0.0103451,l3_aligned_under_50ps
openroad__spi,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__spi/cts_baseline/cts/ecc-tools/spi/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__spi/eval/ecc-tools/openroad__spi/timing_paths.rpt,45,166,166,0,0.00245632,0.00706323,0.00116595,0.004146,l3_aligned_under_50ps
openroad__uart,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__uart/cts_baseline/cts/ecc-tools/uart/work/icts-native/statistics/cts_fast_sta_l3_trace.csv,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__uart/eval/ecc-tools/openroad__uart/timing_paths.rpt,137,707,707,0,0.00325483,0.0139623,0.00138309,0.0066716,l3_aligned_under_50ps
