predictor,target,n,pearson_r,r2,spearman_r
path_rel_error_ratio,buffer_count_delta,23,-0.19979230541545684,0.03991696530322318,-0.26528126908271926
path_rel_error_ratio,abs_buffer_count_delta,23,-0.21493172042933495,0.0461956444467138,-0.4038610365139906
path_rel_error_ratio,trunk_wire_length_ratio,23,0.09279974391168773,0.008611792470074825,0.12648221343873517
path_rel_error_ratio,leaf_wire_length_ratio,23,-0.3718288133925989,0.13825666646894813,-0.18675889328063242
path_rel_error_ratio,clock_total_cap_ratio,23,-0.29992868023357916,0.08995721322665658,-0.22727272727272727
path_extra_cap_pf,l3_mean_abs_arrival_delta_ns,23,0.6021493891365959,0.3625838868375756,0.650197628458498
path_extra_cap_pf,l3_max_abs_arrival_delta_ns,23,0.5818219274245185,0.3385167552319817,0.5662055335968379
path_extra_cap_pf,l3_mean_abs_combined_delay_delta_ns,23,0.5248484962537043,0.2754659440197747,0.5938735177865613
path_extra_cap_pf,latency_avg_delta_ns,23,0.3410420563129969,0.11630968417419735,-0.03260869565217391
path_extra_cap_pf,abs_latency_avg_delta_ns,23,0.3410420563129969,0.11630968417419735,-0.03260869565217391
path_extra_cap_pf,skew_max_delta_ns,23,0.5186730371571272,0.26902171947379866,0.5335321046103944
path_extra_cap_pf,abs_skew_max_delta_ns,23,0.49329455942047545,0.243339522353841,0.43960482228262565
path_extra_cap_pf,buffer_count_delta,23,0.7808071545259312,0.6096598125588814,0.8235597607344121
path_extra_cap_pf,abs_buffer_count_delta,23,0.7760766105715462,0.6022949054762193,0.7740669866518153
path_extra_cap_pf,trunk_wire_length_ratio,23,-0.24826529122832772,0.061635654828686375,-0.12154150197628459
path_extra_cap_pf,leaf_wire_length_ratio,23,-0.20812676983939143,0.04331675232377902,-0.11561264822134387
path_extra_cap_pf,clock_total_cap_ratio,23,-0.505177750039893,0.25520455913536855,-0.4851778656126482
path_extra_cap_to_maxcap_ratio,l3_mean_abs_arrival_delta_ns,23,0.6021493891365959,0.3625838868375756,0.650197628458498
path_extra_cap_to_maxcap_ratio,l3_max_abs_arrival_delta_ns,23,0.5818219274245185,0.3385167552319817,0.5662055335968379
path_extra_cap_to_maxcap_ratio,l3_mean_abs_combined_delay_delta_ns,23,0.5248484962537042,0.2754659440197746,0.5938735177865613
path_extra_cap_to_maxcap_ratio,latency_avg_delta_ns,23,0.3410420563129969,0.11630968417419735,-0.03260869565217391
path_extra_cap_to_maxcap_ratio,abs_latency_avg_delta_ns,23,0.3410420563129969,0.11630968417419735,-0.03260869565217391
path_extra_cap_to_maxcap_ratio,skew_max_delta_ns,23,0.5186730371571273,0.26902171947379877,0.5335321046103944
path_extra_cap_to_maxcap_ratio,abs_skew_max_delta_ns,23,0.49329455942047556,0.2433395223538411,0.43960482228262565
path_extra_cap_to_maxcap_ratio,buffer_count_delta,23,0.7808071545259312,0.6096598125588814,0.8235597607344121
path_extra_cap_to_maxcap_ratio,abs_buffer_count_delta,23,0.7760766105715463,0.6022949054762196,0.7740669866518153
path_extra_cap_to_maxcap_ratio,trunk_wire_length_ratio,23,-0.24826529122832772,0.061635654828686375,-0.12154150197628459
path_extra_cap_to_maxcap_ratio,leaf_wire_length_ratio,23,-0.20812676983939143,0.04331675232377902,-0.11561264822134387
path_extra_cap_to_maxcap_ratio,clock_total_cap_ratio,23,-0.505177750039893,0.25520455913536855,-0.4851778656126482
network_extra_length_um,l3_mean_abs_arrival_delta_ns,23,0.5583320959573719,0.31173472937615193,0.6739130434782609
network_extra_length_um,l3_max_abs_arrival_delta_ns,23,0.6586195643384148,0.4337797305293234,0.6185770750988142
network_extra_length_um,l3_mean_abs_combined_delay_delta_ns,23,0.4433673515200204,0.19657460839387733,0.5899209486166008
network_extra_length_um,latency_avg_delta_ns,23,0.607326661216889,0.3688456734248539,0.01383399209486166
network_extra_length_um,abs_latency_avg_delta_ns,23,0.607326661216889,0.3688456734248539,0.01383399209486166
network_extra_length_um,skew_max_delta_ns,23,0.5071988763934498,0.257250700214778,0.4954226685667948
network_extra_length_um,abs_skew_max_delta_ns,23,0.539410413578058,0.2909635942764515,0.4841593650815404
network_extra_length_um,buffer_count_delta,23,0.8856358638293779,0.7843508833008084,0.8765170290027908
network_extra_length_um,abs_buffer_count_delta,23,0.8852143915233299,0.7836045189600193,0.8369228097367133
network_extra_length_um,trunk_wire_length_ratio,23,-0.16623151879193676,0.027632917839874024,-0.10474308300395258
network_extra_length_um,leaf_wire_length_ratio,23,-0.10724363814702237,0.011501197923009472,-0.1373517786561265
network_extra_length_um,clock_total_cap_ratio,23,-0.4089314001565781,0.16722489003401939,-0.466403162055336
max_selected_rel_error_ratio,l3_mean_abs_arrival_delta_ns,23,-0.03365756209696918,0.0011328314863113362,-0.008893280632411068
max_selected_rel_error_ratio,l3_max_abs_arrival_delta_ns,23,-0.08178120922036204,0.00668816618154463,-0.10869565217391304
max_selected_rel_error_ratio,l3_mean_abs_combined_delay_delta_ns,23,-0.08978233714568816,0.008060868063342016,-0.00691699604743083
max_selected_rel_error_ratio,latency_avg_delta_ns,23,0.35791490591517466,0.12810307987626834,0.016798418972332016
max_selected_rel_error_ratio,abs_latency_avg_delta_ns,23,0.35791490591517466,0.12810307987626834,0.016798418972332016
max_selected_rel_error_ratio,skew_max_delta_ns,23,0.09466140047384065,0.00896078073966884,0.17371963702991505
max_selected_rel_error_ratio,abs_skew_max_delta_ns,23,-0.034199489691491905,0.0011696050951584612,0.0381188866168493
max_selected_rel_error_ratio,buffer_count_delta,23,0.2536522193170768,0.06433944836447844,0.3078450547937526
max_selected_rel_error_ratio,abs_buffer_count_delta,23,0.24334950223882104,0.059218980239881966,0.2128189285551666
max_selected_rel_error_ratio,trunk_wire_length_ratio,23,-0.11608224517755411,0.013475087645461785,-0.0266798418972332
max_selected_rel_error_ratio,leaf_wire_length_ratio,23,-0.29054965138761096,0.08441909992146227,-0.17094861660079053
max_selected_rel_error_ratio,clock_total_cap_ratio,23,-0.3652840648796676,0.1334324480550132,-0.35968379446640314
mean_selected_rel_error_ratio,l3_mean_abs_arrival_delta_ns,23,-0.2462292770061613,0.06062885685497691,-0.2766798418972332
mean_selected_rel_error_ratio,l3_max_abs_arrival_delta_ns,23,-0.3701359028898557,0.1370005866080887,-0.4199604743083004
mean_selected_rel_error_ratio,l3_mean_abs_combined_delay_delta_ns,23,-0.31465493352363827,0.09900772719076521,-0.20948616600790515
mean_selected_rel_error_ratio,latency_avg_delta_ns,23,-0.04649551390246567,0.002161832813054378,-0.1432806324110672
mean_selected_rel_error_ratio,abs_latency_avg_delta_ns,23,-0.04649551390246567,0.002161832813054378,-0.1432806324110672
mean_selected_rel_error_ratio,skew_max_delta_ns,23,-0.11588846991526,0.013430137459300122,-0.08166307723628485
mean_selected_rel_error_ratio,abs_skew_max_delta_ns,23,-0.28503796881167076,0.081246643664283,-0.21485190638587787
mean_selected_rel_error_ratio,buffer_count_delta,23,-0.06489988023019583,0.004211994453893763,-0.05345219600920463
mean_selected_rel_error_ratio,abs_buffer_count_delta,23,-0.08057774903916606,0.006492773640218827,-0.17520442025239297
mean_selected_rel_error_ratio,trunk_wire_length_ratio,23,0.021155859785237905,0.00044757040325264644,0.03359683794466403
mean_selected_rel_error_ratio,leaf_wire_length_ratio,23,-0.39737859863722286,0.15790975065488305,-0.22035573122529645
mean_selected_rel_error_ratio,clock_total_cap_ratio,23,-0.37060073584533004,0.1373449054091001,-0.2984189723320158
selected_tail_idx1_count,l3_mean_abs_arrival_delta_ns,23,0.2025673889343839,0.041033547059693955,0.24300005329705082
selected_tail_idx1_count,l3_max_abs_arrival_delta_ns,23,0.17027656138177752,0.028994107356002247,0.1416567130971287
selected_tail_idx1_count,l3_mean_abs_combined_delay_delta_ns,23,0.08245640375389461,0.006799058520025285,0.12653919826067625
selected_tail_idx1_count,latency_avg_delta_ns,23,0.6253133700526458,0.3910168107665971,0.410972440368745
selected_tail_idx1_count,abs_latency_avg_delta_ns,23,0.6253133700526458,0.3910168107665971,0.410972440368745
selected_tail_idx1_count,skew_max_delta_ns,23,0.21733951901108423,0.04723646652396944,0.2288385079222855
selected_tail_idx1_count,abs_skew_max_delta_ns,23,0.1991833684180161,0.039674014254347134,0.21402828515348546
selected_tail_idx1_count,buffer_count_delta,23,0.25676330665006125,0.06592739564187339,0.4761860128088735
selected_tail_idx1_count,abs_buffer_count_delta,23,0.24833804052611785,0.061671782372351755,0.44085065496793235
selected_tail_idx1_count,trunk_wire_length_ratio,23,-0.08680653805412579,0.007535375048942389,-0.05767051956128165
selected_tail_idx1_count,leaf_wire_length_ratio,23,-0.22661533049114999,0.05135450801361313,-0.14445625288165695
selected_tail_idx1_count,clock_total_cap_ratio,23,-0.24202710943532038,0.058577121701616545,-0.20156686448603295
selected_distinct_idx_ratio,l3_mean_abs_arrival_delta_ns,23,-0.09348421565636364,0.008739298576885504,-0.1151953941228597
selected_distinct_idx_ratio,l3_max_abs_arrival_delta_ns,23,-0.13888418997295654,0.019288818224444282,-0.1406281434746599
selected_distinct_idx_ratio,l3_mean_abs_combined_delay_delta_ns,23,-0.06071562203566423,0.003686386759177636,-0.1024790194469596
